ID,Unit,Facie,depth,MS,Den,FP,TS,TC,TIC,TOC,BioSi,TN,TOC/TN,d15N,d13C,Montmorillonite,Muscovite,Talc,Riebeckite,Clinochlore,Microcline,Quartz,Albite,Amorphous
"CHILL-LEM13-3A-2U, 34-35 cm",U4,TL1,208,,,,0.44719,2.4147,0.31746,2.09724,18.3941320513,0.3685,6.6398371777,0.0206731716,-18.3279243408,,,,,,,,,
"CHILL-LEM13-3A-2U, 35-36 cm",U4,TL1,209,53.6342,1.4909,0.7111,0.43113,2.406,0.3416,2.0644,18.2213031374,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 36-37 cm",U4,TL1,210,,,,0.43692,2.3641,0.30039,2.06371,16.7670559983,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 37-38 cm",U4,TL1,211,53.7574,1.4768,0.7198,0.44064,2.4862,0.28736,2.19884,18.1588533343,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 38-39 cm",U4,TL1,212,,,,0.46866,2.5162,0.29885,2.21735,18.3200905155,0.235,11.0081205674,,,0.277,0.427,0,0,0.492,0.496,2.889,6.148,51.22
"CHILL-LEM13-3A-2U, 39-40 cm",U4,TL1,213,53.0615,1.4961,0.7079,0.45033,2.5253,0.28861,2.23669,18.6641643605,,,0.080193304,-19.1820672503,,,,,,,,,
"CHILL-LEM13-3A-2U, 40-41 cm",U4,TL1,214,,,,0.42523,2.5781,0.29075,2.28735,17.747578134,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 41-42 cm",U4,TL1,215,53.5239,1.5044,0.7028,0.42605,2.5163,0.26735,2.24895,17.2120670203,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 42-43 cm",U4,TL1,216,,,,0.42322,2.4781,0.31783,2.16027,17.630299668,0.35685,7.0626733922,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 43-44 cm",U4,TL1,217,53.8139,1.4963,0.7078,0.42525,2.4917,0.32715,2.16455,18.1635412459,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 44-45 cm",U4,TL1,218,,,,0.40976,2.4633,0.34382,2.11948,18.3131818348,0.201,12.3021227197,-0.2312643677,-18.6522349562,Present,0.299,Present,Present,0.195,0.577,2.92,6.666,41.05
"CHILL-LEM13-3A-2U, 45-46 cm",U4,TL1,219,54.8856,1.4879,0.7129,0.4088,2.4436,0.32258,2.12102,18.6914300931,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 46-47 cm",U4,TL1,220,,,,0.43236,2.5197,0.32809,2.19161,18.4953902547,0.31112,8.2183026914,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 47-48 cm",U4,TL1,221,55.2032,1.5,0.7055,0.42808,2.423,0.31314,2.10986,18.1663549359,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 48-49 cm",U4,TL1,222,,,,0.42561,2.4114,0.36458,2.04682,18.3888525597,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 49-50 cm",U4,TL1,223,56.2231,1.4727,0.7223,0.42325,2.6381,0.29114,2.34696,18.4184457121,,,-0.3241257506,-16.6509579988,,,,,,,,,
"CHILL-LEM13-3A-2U, 50-51 cm",U4,TL1,224,,,,0.40593,2.7092,0.31453,2.39467,18.4136386049,0.36589,7.6355780881,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 51-52 cm",U4,TL1,225,54.8573,1.5093,0.6998,0.43567,2.5738,0.32676,2.24704,17.6391237027,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 52-53 cm",U4,TL1,226,,,,0.42539,2.6667,0.3171,2.3496,18.4539229538,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 52-53 cm",U4,TL1,227,55.558,1.4903,0.7115,0.42044,2.561,0.31361,2.24739,18.3448583529,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 54-55 cm",U4,TL1,228,,,,0.42418,2.6352,0.3529,2.2823,17.8567646916,,,0.1439332476,-18.7361487407,,,,,,,,,
"CHILL-LEM13-3A-2U, 55-56 cm",U4,TL1,229,54.0631,1.5211,0.6926,0.43946,2.6746,0.36257,2.31203,18.3702131767,0.236,11.4295268362,,,0.13,0.426,0,0,0.24,0.655,2.915,5.747,33.25
"CHILL-LEM13-3A-2U, 56-57 cm",U4,TL1,230,,,,0.39327,2.5889,0.33736,2.25154,17.921072306,,,,,,,,,,,,,
"CHILL-LEM13-3A-2U, 57-58 cm",U4,TL1,231,53.3648,1.509,0.7,0.44926,2.8704,0.30044,2.56996,18.1048689769,,,,,,,,,,,,,
